IP,Region,Ping (ms),Upload (Mbps),Download (Mbps)
143.47.191.182,North_America,57,248.19,219.83
193.123.186.154,North_America,59,289.12,216.20
150.230.20.140,North_America,59,156.79,161.06
158.180.83.170,North_America,59,198.43,232.57
130.162.38.61,North_America,59,240.55,221.29
144.24.175.142,North_America,60,289.03,189.42
130.162.131.221,North_America,60,277.38,307.48
158.180.87.105,North_America,60,201.44,248.62
152.70.41.21,North_America,60,320.02,271.27
152.70.41.200,North_America,60,252.94,183.64
141.148.233.183,North_America,61,129.05,251.85
193.123.188.86,North_America,61,263.34,133.33
158.180.82.202,North_America,61,229.47,266.52
193.123.254.215,North_America,61,312.11,248.64
146.56.179.91,North_America,61,217.62,244.59
8.219.76.180,North_America,61,284.15,263.24
132.145.248.93,North_America,61,220.77,223.51
131.186.60.210,North_America,61,272.64,248.92
158.180.65.145,North_America,61,218.62,275.74
146.56.43.53,North_America,61,227.52,275.08
138.3.220.180,North_America,61,226.99,263.02
64.110.86.69,North_America,61,248.95,229.67
8.222.186.74,North_America,61,269.98,268.17
152.70.90.223,North_America,61,296.25,240.52
141.147.72.58,North_America,62,233.92,264.92
150.230.221.148,North_America,62,282.46,236.82
141.147.104.38,North_America,62,259.93,216.68
144.21.39.73,North_America,62,195.96,289.45
158.101.179.148,North_America,62,203.78,301.04
143.47.190.232,North_America,62,277.96,189.91
64.110.108.118,North_America,62,338.24,250.18
150.230.145.176,North_America,62,219.98,240.60
129.80.170.113,North_America,62,205.08,243.50
130.162.144.191,North_America,62,267.85,190.92
143.47.255.170,North_America,62,301.16,280.91
193.123.229.34,North_America,62,231.86,258.43
158.101.212.127,North_America,62,256.99,238.34
47.91.18.127,North_America,62,306.51,271.03
164.152.17.14,North_America,62,255.01,241.60
8.222.190.145,North_America,62,220.23,247.23
152.69.231.122,North_America,62,239.02,263.32
140.238.26.210,North_America,62,199.52,273.50
130.162.129.149,North_America,62,265.89,230.35
158.180.78.93,North_America,62,235.64,263.56
130.162.138.193,North_America,62,273.75,257.72
158.101.214.119,North_America,62,162.86,289.11
144.21.58.10,North_America,63,229.39,201.38
158.101.204.207,North_America,63,328.53,227.34
